food_class,대표식품명
간장게장,게장
감자채볶음,감자볶음
계란국,UNKNOWN
계란말이,달걀말이
계란찜,UNKNOWN
계란후라이,달걀부침(달걀후라이)
고추장진미채볶음,UNKNOWN
곰탕_설렁탕,곰탕
과메기,UNKNOWN
김치볶음밥,UNKNOWN
꽈리고추무침,UNKNOWN
닭갈비,닭볶음(닭갈비)
닭계장,UNKNOWN
도라지무침,UNKNOWN
도토리묵,도토리묵무침
동그랑땡,완자전
떡국_만두국,떡만두국
떡꼬치,UNKNOWN
멍게,UNKNOWN
보쌈,UNKNOWN
북엇국,UNKNOWN
산낙지,UNKNOWN
삼겹살,삼겹살구이
새우볶음밥,UNKNOWN
소세지볶음,소시지볶음
수정과,UNKNOWN
시래기국,UNKNOWN
애호박볶음,호박볶음
양념게장,게장
양념치킨,닭튀김
열무국수,UNKNOWN
유부초밥,유부 초밥
젓갈,UNKNOWN
찜닭,닭찜
콩자반,콩조림(콩자반)
편육,UNKNOWN
한과,UNKNOWN
후라이드치킨,닭튀김
불고기,오리불고기
가지볶음,가지볶음
갈비구이,갈비구이
갈비찜,갈비찜
갈비탕,갈비탕
갈치구이,갈치구이
갈치조림,갈치조림
감자전,감자전
감자조림,감자조림
감자탕,감자탕
갓김치,갓김치
건새우볶음,건새우볶음
경단,경단
고등어구이,고등어구이
고등어조림,고등어조림
고사리나물,고사리나물
고추튀김,고추튀김
곱창구이,곱창구이
곱창전골,곱창전골
김밥,김밥
김치전,김치전
김치찌개,김치찌개
김치찜,김치찜
깍두기,깍두기
깻잎장아찌,깻잎장아찌
꼬막찜,꼬막찜
꽁치조림,꽁치조림
꿀떡,꿀떡
나박김치,나박김치
누룽지,누룽지
닭볶음탕,닭볶음탕
더덕구이,더덕구이
동태찌개,동태찌개
된장찌개,된장찌개
두부김치,두부김치
두부조림,두부조림
땅콩조림,땅콩조림
떡갈비,떡갈비
떡볶이,떡볶이
라면,라면
라볶이,라볶이
막국수,막국수
만두,만두
매운탕,매운탕
메추리알장조림,메추리알장조림
멸치볶음,멸치볶음
무국,무국
무생채,무생채
물냉면,물냉면
물회,물회
미역국,미역국
미역줄기볶음,미역줄기볶음
배추김치,배추김치
백김치,백김치
부추김치,부추김치
비빔냉면,비빔냉면
비빔밥,비빔밥
삼계탕,삼계탕
새우튀김,새우튀김
생선전,생선전
송편,송편
수육,수육
수제비,수제비
숙주나물,숙주나물
순대,순대
순두부찌개,순두부찌개
시금치나물,시금치나물
식혜,식혜
알밥,알밥
약과,약과
약식,약식
어묵볶음,어묵볶음
연근조림,연근조림
열무김치,열무김치
오이소박이,오이소박이
오징어채볶음,오징어채볶음
오징어튀김,오징어튀김
우엉조림,우엉조림
육개장,육개장
육회,육회
잔치국수,잔치국수
잡곡밥,잡곡밥
잡채,잡채
장어구이,장어구이
장조림,장조림
전복죽,전복죽
제육볶음,제육볶음
조개구이,조개구이
조기구이,조기구이
족발,족발
주꾸미볶음,주꾸미볶음
주먹밥,주먹밥
짜장면,짜장면
짬뽕,짬뽕
쫄면,쫄면
총각김치,총각김치
추어탕,추어탕
칼국수,칼국수
코다리조림,코다리조림
콩국수,콩국수
콩나물국,콩나물국
콩나물무침,콩나물무침
파김치,파김치
파전,파전
피자,피자
해물찜,해물찜
호박전,호박전
호박죽,호박죽
홍어무침,홍어무침
황태구이,황태구이
회무침,회무침
훈제오리,훈제오리
